Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PRIVATE,NSW,ORAL SURGERY DAY CENTRE,0999401W,"SUITE 10, 16-18 MALVERN AVENUE",CHATSWOOD,2067,YES,04-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ORANGE EYE CENTRE,0657451H,267-277 LORDS PLACE,ORANGE,2800,YES,30-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,ORANGE HEALTH SERVICE,0011920A,1530 FOREST ROAD,ORANGE,2800,NO,,
PRIVATE,NSW,ORANGE SURGERY CENTRE,0027120L,60-62 MCNAMARA STREET,ORANGE,2800,YES,08-04-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,ORBOST REGIONAL HEALTH,0030860W,104 BOUNDARY ROAD,ORBOST,3888,NO,,
PRIVATE,SA,OROMAX DAY SURGERY,0067140K,"LEVEL 3, 1 HUTT STREET",ADELAIDE,5000,YES,04-10-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,ORROROO CAMPUS,0060410W,PEKINA ROAD,ORROROO,5431,NO,,
PUBLIC,WA,OSBORNE PARK HOSPITAL,0071030F,OSBORNE PLACE,STIRLING,6021,NO,,
PRIVATE,WA,OXFORD DAY SURGERY AND DERMATOLOGY,0077110A,416-418 OXFORD STREET,MOUNT HAWTHORN,6016,YES,06-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,PACIFIC DAY SURGERY CENTRE,0057070B,38 MISTERTON STREET,FORTITUDE VALLEY,4006,YES,01-03-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,PACIFIC PRIVATE DAY HOSPITAL,0055980B,119-123 NERANG STREET,SOUTHPORT,4215,YES,14-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,PAKENHAM HEALTH CENTRE,0032160H,HENTY WAY,PAKENHAM,3810,NO,,
PUBLIC,NT,PALMERSTON REGIONAL HOSPITAL,0092000T,LINCO ROAD,HOLTZE,829,NO,,
PUBLIC,NSW,PAMBULA DISTRICT HOSPITAL,0011930Y,MERIMBOLA STREET,PAMBULA,2549,NO,,
PRIVATE,VIC,PANCH DAY SURGERY CENTRE,0044100J,"LEVEL 4, 84 HOTHAM STREET",PRESTON,3073,YES,17-03-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,PANCH HEALTH SERVICE,0032100X,300 BELL STREET,PRESTON,3072,NO,,
PUBLIC,WA,PARABURDOO HOSPITAL,0071240W,LOT 608 ROCKLEA ROAD,PARABURDOO,6754,NO,,
PRIVATE,VIC,PARAS CLINIC ,0044220A,"SUITE 10, 45 COLLINS STREET",MELBOURNE,3000,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,PARKES DISTRICT HOSPITAL,0011940X,18 COLEMAN ROAD,PARKES,2870,NO,,
PRIVATE,SA,PARKVIEW DAY SURGERY,0067000A,215 GREENHILL ROAD,EASTWOOD,5063,YES,12-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,PARKWYND PRIVATE HOSPITAL,0065280T,137 EAST TERRACE,ADELAIDE,5000,YES,15-04-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,PARRAMATTA EYE CENTRE,0027430Y,"SUITE 19, 34 CHARLES STREET",PARRAMATTA,2150,YES,12-11-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,PAYNEHAM DIALYSIS CLINIC,0067040T,2 PORTRUSH ROAD,PAYNEHAM,5070,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,PEAK HILL HEALTH SERVICE,0011950W,111 NEWELL HIGHWAY,PEAK HILL,2869,NO,,
PRIVATE,WA,PEEL HEALTH CAMPUS - PRIVATE,0075560L,110 LAKES ROAD,MANDURAH,6210,YES,14-07-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,WA,PEEL HEALTH CAMPUS - PUBLIC,0070100T,110 LAKES ROAD,MANDURAH,6210,NO,,
PUBLIC,WA,PEMBERTON HOSPITAL,0070660F,RAILWAY CRESENT,PEMBERTON,6260,NO,,
PRIVATE,QLD,PENINSULA PRIVATE HOSPITAL (QLD),0055790J,CNR GEORGE AND FLORENCE STREETS,KIPPA-RING,4020,YES,09-10-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,VIC,PENINSULA PRIVATE HOSPITAL (VIC),0036510L,525 MCCLELLAND DRIVE,FRANKSTON,3199,YES,12-06-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,PENINSULA SLEEP CLINIC,0017230A,"LEVEL 2, BUILDING 1, 49 FRENCHS FOREST ROAD",FRENCHS FOREST,2086,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,PENNANT HILLS DAY SURGERY,0657211A,361 - 363 PENNANT HILLS ROAD,PENNANT HILLS,2120,YES,14-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,PENOLA WAR MEMORIAL HOSPITAL,0060420T,18 CHURCH STREET,PENOLA,5277,NO,,
PUBLIC,WA,Perth Children’s Hospital ,0071620F,15 HOSPITAL AVENUE,NEDLANDS,6009,NO,,
PRIVATE,WA,PERTH CLINIC,0075550T,29 HAVELOCK STREET,WEST PERTH,6005,YES,15-12-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,WA,PERTH DAY SURGERY CENTRE,0077060W,166-168 CAMBRIDGE STREET,LEEDERVILLE,6007,YES,10-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,PERTH DERMATOLOGY CLINIC,0077180J,5-7 ROBINSON AVENUE,PERTH,6000,YES,21-02-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,PERTH EYE HOSPITAL,0656511X,42 ORD STREET,WEST PERTH,6005,YES,05-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,PETER JAMES CENTRE,0031750T,321-345 BURWOOD HIGHWAY,FOREST HILL,3131,NO,,
PUBLIC,VIC,PETER MACCALLUM CANCER CENTRE,0030190W,2 ST ANDREWS PLACE,EAST MELBOURNE,3002,NO,,
PUBLIC,SA,PETERBOROUGH CAMPUS,0060430L,23 HURLSTONE STREET,PETERBOROUGH,5422,NO,,
PRIVATE,QLD,PINDARA DAY PROCEDURE CENTRE,0925491K,13 CARRARA STREET,BENOWA,4217,YES,08-01-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,PINDARA PRIVATE HOSPITAL,0055600J,ALLCHURCH AVENUE,BENOWA,4217,YES,02-02-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,PINE RIVERS PRIVATE HOSPITAL,0055830W,34 DIXON STREET,STRATHPINE,4500,YES,06-07-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,WA,PINGELLY HEALTH CENTRE,0070680A,32 BROWN STREET,PINGELLY,6308,NO,,
PUBLIC,SA,PINNAROO SOLDIERS' MEMORIAL HOSPITAL,0060440K,BUNDEY TERRACE,PINNAROO,5304,NO,,
PRIVATE,NSW,PITTWATER DAY SURGERY,0027020W,202/20 BUNGAN STREET,MONA VALE,2103,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,PLANTAGENET HOSPITAL,0070550K,LANGTON ROAD,MOUNT BARKER,6324,NO,,
PUBLIC,SA,PORT AUGUSTA HOSPITAL,0060450J,71 HOSPITAL ROAD,PORT AUGUSTA,5700,NO,,
PUBLIC,SA,PORT BROUGHTON DISTRICT HOSPITAL AND HEALTH SERVICES,0060720B,BAY STREET,PORT BROUGHTON,5522,NO,,
PUBLIC,NSW,PORT KEMBLA HOSPITAL,0012480A,89-91 COWPER STREET,WARRAWONG,2502,NO,,
PUBLIC,SA,PORT LINCOLN HEALTH SERVICES,0060460H,39 OXFORD TERRACE,PORT LINCOLN,5606,NO,,
PUBLIC,NSW,PORT MACQUARIE BASE HOSPITAL,0017070A,1-31 WRIGHTS ROAD,PORT MACQUARIE,2444,NO,,
PRIVATE,NSW,PORT MACQUARIE OPHTHALMIC SURGERY,0027400F,35 ACKROYD STREET,PORT MACQUARIE,2444,YES,08-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,PORT MACQUARIE PRIVATE HOSPITAL,0016940A,LAKE ROAD,PORT MACQUARIE,2444,YES,26-06-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,SA,PORT PIRIE HOSPITAL,0060470F,ALEXANDER STREET,PORT PIRIE,5540,NO,,
PUBLIC,VIC,PORTLAND DISTRICT HEALTH,0030910A,141-151 BENTINCK STREET,PORTLAND,3305,NO,,
PUBLIC,NSW,PORTLAND TABULAM HEALTH CENTRE,0011960T,29 GREEN STREET,PORTLAND,2847,NO,,
PRIVATE,VIC,PRECISION ASCEND REHABILITATION CENTRE,0044140A,73 KOOYONG ROAD,CAULFIELD SOUTH,3161,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,PRESIDENT PRIVATE HOSPITAL,0016840F,369-381 PRESIDENT AVENUE,KIRRAWEE,2232,NO,,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,PRINCE ALBERT TENTERFIELD,0011970L,1-5 NAAS ST,TENTERFIELD,2372,NO,,
PUBLIC,NSW,PRINCE OF WALES HOSPITAL,0010260H,320-346 BARKER STREET,RANDWICK,2031,NO,,
PRIVATE,NSW,PRINCE OF WALES PRIVATE HOSPITAL,0017170X,"LEVELS 5-7, AMBULATORY CARE SERVICES CENTRE BUILDING, PRINCE OF WALES CAMPUS, BARKER STREET",RANDWICK,2031,YES,18-01-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,PRINCESS ALEXANDRA HOSPITAL,0051080F,199 IPSWICH ROAD,WOOLLOONGABBA,4102,NO,,
PUBLIC,QLD,PROSERPINE HOSPITAL,0051090B,26-32 TAYLOR STREET,PROSERPINE,4800,NO,,
PUBLIC,WA,QUAIRADING HOSPITAL,0070700L,HARRIS STREET,QUAIRADING,6383,NO,,
PUBLIC,NSW,QUEANBEYAN DISTRICT HOSPITAL,0011980K,12 ERIN STREET,QUEANBEYAN,2620,NO,,
PUBLIC,ACT,QUEEN ELIZABETH II FAMILY CENTRE,0090020F,129 CARRUTHERS STREET,CURTIN,2605,NO,,
PUBLIC,QLD,QUEEN ELIZABETH II JUBILEE HOSPITAL,0051630L,CNR KESSELS & TROUGHON ROADS,COOPERS PLAINS,4108,NO,,
PUBLIC,QLD,QUEENSLAND CHILDREN'S HOSPITAL ,0056130T,501 STANLEY STREET,SOUTH BRISBANE,4101,NO,,
PRIVATE,QLD,QUEENSLAND EYE HOSPITAL,0923141F,55 LITTLE EDWARD STREET,SPRING HILL,4004,YES,13-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,QUILPIE HOSPITAL,0051100W,30 GYRICA STREET,QUILPIE,4480,NO,,
PUBLIC,NSW,QUIRINDI COMMUNITY HOSPITAL,0011990J,NOWLAND STREET,QUIRINDI,2343,NO,,
PUBLIC,SA,QUORN HEALTH SERVICES,0060480B,HOSPITAL ROAD,QUORN,5433,NO,,
PUBLIC,WA,RAVENSTHORPE HOSPITAL,0070980K,MARTIN STREET,RAVENSTHORPE,6346,NO,,
PUBLIC,QLD,REDCLIFFE HOSPITAL,0051110T,ANZAC AVENUE,REDCLIFFE,4020,NO,,
PUBLIC,QLD,REDLAND HOSPITAL,0051720K,21 WEIPPIN STREET,CLEVELAND,4163,NO,,
PRIVATE,NSW,REGIONAL IMAGING CARDIOVASCULAR CENTRE,0999251T,"CALVARY HOSPITAL, 36, HARDY AVENUE",WAGGA WAGGA,2650,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,RENAISSANT AESTHETIC HEALTH,0057520T,"GROUND FLOOR, 45 WELLINGTON ROAD",EAST BRISBANE,4169,YES,10-11-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,RENMARK PARINGA DISTRICT HOSPITAL,0060490A,RAL RAL AVENUE,RENMARK,5341,NO,,
PRIVATE,SA,REPROMED DAY SURGERY,0067080H,180 FULLARTON ROAD,DULWICH,5065,YES,19-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,RESERVOIR PRIVATE HOSPITAL DAY PROCEDURE CENTRE,0036460H,73-75 PINE STREET,RESERVOIR,3073,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,RICHMOND HOSPITAL,0051120L,GALLAGHER DRIVE,RICHMOND,4822,NO,,
PRIVATE,VIC,RINGWOOD PRIVATE HOSPITAL,0036430L,36 MOUNT DANDENONG ROAD,EAST RINGWOOD,3135,YES,14-08-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,RIVERCITY PRIVATE HOSPITAL,0056040W,401 MILTON ROAD,AUCHENFLOWER,4066,YES,30-10-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,RIVERINA CANCER CARE CENTRE,0027060J,"CALVARY PRIVATE HOSPITAL, HARDY AVENUE",WAGGA WAGGA,2650,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,RIVERINA DAY SURGERY,0027410B,2-6 MEURANT AVENUE,WAGGA WAGGA,2650,YES,13-08-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,RIVERLAND GENERAL HOSPITAL,0060080X,24 MADDERN STREET,BERRI,5343,NO,,
PUBLIC,SA,RIVERTON HOSPITAL,0060500T,23 MOORHOUSE TERRACE,RIVERTON,5412,NO,,
PUBLIC,QLD,ROBINA HOSPITAL,0051940Y,2 BAYBERRY LANE,ROBINA,4226,NO,,
PRIVATE,QLD,ROBINA PRIVATE HOSPITAL,0056170H,1 BAYBERRY LANE,ROBINA,4226,YES,04-05-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,QLD,ROBINA PROCEDURE CENTRE,0057360T,"TENANCY 4110, LEVEL 3, ROBINA TOWN CENTREDRIVE, ROBINA TOWN CENTRE DRIVE",ROBINA TOWN CENTRE,4230,YES,22-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,ROBINVALE DISTRICT HEALTH SERVICES - MANANGATANG CAMPUS,0030660B,37 PIONEER STREET,MANANGATANG,3546,NO,,
PUBLIC,VIC,ROBINVALE DISTRICT HEALTH SERVICES - ROBINVALE CAMPUS,0031000J,128-132 LATJE ROAD,ROBINVALE,3549,NO,,
PUBLIC,VIC,ROCHESTER AND ELMORE DISTRICT HEALTH SERVICE,0031010H,1 PASCOE STREET,ROCHESTER,3561,NO,,
PUBLIC,QLD,ROCKHAMPTON BASE HOSPITAL,0051130K,8 CANNING STREET ,ROCKHAMPTON,4700,NO,,
PRIVATE,WA,ROCKINGHAM DIALYSIS CLINIC,0077250K,LEVEL 1/35 MCNICHOLL STREET,ROCKINGHAM ,6168,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,ROCKINGHAM GENERAL HOSPITAL,0071490Y,ELANORA DRIVE,COOLOONGUP,6168,NO,,
PRIVATE,QLD,RODERICK STREET DAY SURGERY,0999941K,23 RODERICK STREET,IPSWICH,4305,YES,27-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,ROEBOURNE HOSPITAL,0070710K,42-44 HAMPTON STREET,ROEBOURNE,6718,NO,,
PUBLIC,QLD,ROMA HOSPITAL,0051140J,197-234 MCDOWALL STREET,ROMA,4455,NO,,
PRIVATE,NSW,ROSEBERY DAY SURGERY,0658011A,308 GARDENERS ROAD,ROSEBERY,2018,YES,05-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ROSEBUD DAY HOSPITAL,0044170W,29-31 BONEO ROAD,ROSEBUD,3939,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ROSEBUD ENDOSCOPY,0044160X,20 BONEO ROAD,ROSEBUD  ,3939,YES,29-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,ROSEBUD HOSPITAL,0030360T,1527 POINT NEPEAN ROAD,ROSEBUD,3939,NO,,
PRIVATE,NSW,ROSEMONT ENDOSCOPY CENTRE,0656281W,56 ROSEMONT STREET,WOLLONGONG,2500,YES,11-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,ROXBY DOWNS HOSPITAL,0060860L,16-28 BURGOYNE STREET,ROXBY DOWNS,5725,NO,,
PUBLIC,QLD,ROYAL BRISBANE & WOMENS HOSPITAL,0050180J,BUTTERFIELD STREET,HERSTON,4029,NO,,
PUBLIC,NT,ROYAL DARWIN HOSPITAL,0095070Y,ROCKLANDS DRIVE,TIWI,810,NO,,
PUBLIC,TAS,ROYAL HOBART HOSPITAL,0080060L,48 LIVERPOOL STREET,HOBART,7000,NO,,
PUBLIC,NSW,ROYAL HOSPITAL FOR WOMEN,0010070L,BARKER STREET,RANDWICK,2031,NO,,
PUBLIC,VIC,ROYAL MELBOURNE HOSPITAL - CITY CAMPUS,0031030B,300 GRATTAN STREET,PARKVILLE,3050,NO,,
PUBLIC,VIC,ROYAL MELBOURNE HOSPITAL - ROYAL PARK CAMPUS,0031860J,34-54 POPLAR ROAD,PARKVILLE,3052,NO,,
PUBLIC,NSW,ROYAL NORTH SHORE HOSPITAL,0010310L,1 RESERVE ROAD,ST LEONARDS,2065,NO,,
PUBLIC,WA,ROYAL PERTH HOSPITAL,0070000X,WELLINGTON STREET,PERTH,6000,NO,,
PUBLIC,NSW,ROYAL PRINCE ALFRED HOSPITAL,0010320K,50 MISSENDEN ROAD,CAMPERDOWN,2050,NO,,
PRIVATE,NSW,ROYAL REHAB PRIVATE,0017490B,235 MORRISON ROAD,RYDE,2112,YES,18-09-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,ROYAL REHABILITATION HOSPITAL - COORABEL/MOORONG,0012600J,227-259 MORRISON ROAD,RYDE,2112,NO,,
PUBLIC,VIC,ROYAL TALBOT REHABILITATION CENTRE,0031600H,1 YARRA BOULEVARD,KEW,3101,NO,,
PUBLIC,VIC,RURAL NORTHWEST HEALTH - HOPETOUN CAMPUS,0035360X,12 MITCHELL PLACE,HOPETOUN,3396,NO,,
PUBLIC,VIC,RURAL NORTHWEST HEALTH - WARRACKNABEAL CAMPUS,0031270J,18 DIMBOOLA ROAD,WARRACKNABEAL,3393,NO,,
PUBLIC,NSW,RYDE HOSPITAL,0010390X,DENISTONE ROAD,EASTWOOD,2122,NO,,
PUBLIC,NSW,RYLSTONE DISTRICT HOSPITAL,0012010J,24 FITZGERALD STREET,RYLSTONE,2849,NO,,
PUBLIC,NSW,SACRED HEART HEALTH SERVICE,0010400K,170 DARLINGHURST ROAD,DARLINGHURST,2010,NO,,
PRIVATE,QLD,SAMFORD ROAD DAY HOSPITAL,0057230B,383-391 SAMFORD ROAD,GAYTHORNE,4051,YES,19-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,SANDRINGHAM HOSPITAL,0031470A,193 BLUFF ROAD,SANDRINGHAM,3191,NO,,
PUBLIC,QLD,SARINA HOSPITAL,0051410B,1 HOSPITAL STREET,SARINA,4737,NO,,
PUBLIC,NSW,"SCOTT MEMORIAL HOSPITAL, SCONE",0012050A,STAFFORD STREET,SCONE,2337,NO,,
PRIVATE,SA,SEAFORD DAY SURGERY ,0067260B,4 VISTA PARADE,SEAFORD HEIGHTS,5169,YES,05-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,SEYMOUR HEALTH,0031070W,1 BRETTONEAUX STREET,SEYMOUR,3660,NO,,
PUBLIC,NSW,SHELLHARBOUR HOSPITAL,0010060T,15-17 MADIGAN BOULEVARDE,MOUNT WARRIGAL,2528,NO,,
PRIVATE,NSW,SHELLHARBOUR PRIVATE HOSPITAL,0016800L,27 CAPTAIN COOK DRIVE,BARRACK HEIGHTS,2528,YES,12-06-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,VIC,SHEPPARTON PRIVATE HOSPITAL,0036550F,20 FITZGERALD STREET,SHEPPARTON,3630,YES,26-05-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,SHOALHAVEN DISTRICT MEMORIAL HOSPITAL,0012060Y,2 SHOALHAVEN STREET,NOWRA,2541,NO,,
PRIVATE,QLD,SHORT STREET DAY SURGERY,0057010T,2 SHORT STREET,SOUTHPORT,4215,YES,20-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SIGHT FOUNDATION THEATRE,0027240F,"SYDNEY EYE HOSPITAL, LEVEL 3 CLINICAL BUILDING, 8 MACQUARIE STREET",SYDNEY,2000,YES,07-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,SINGLETON DISTRICT HOSPITAL,0012070X,LOT 20 DANGAR ROAD,SINGLETON,2330,NO,,
PUBLIC,WA,SIR CHARLES GAIRDNER HOSPITAL,0070990J,HOSPITAL AVENUE,NEDLANDS,6009,NO,,
PRIVATE,VIC,SIR JOHN MONASH PRIVATE HOSPITAL,0036730A,"1ST FLOOR, 212-220 CLAYTON ROAD",CLAYTON,3168,YES,24-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,SKIN CANCER DAY SURGERY,0036870K,19 CLEVELAND ROAD,ASHWOOD,3147,YES,06-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,SKIN HEALTH INSTITUTE,0044050B,"LEVEL 1, 80 DRUMMOND STREET",CARLTON,3053,YES,12-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,SLEEPMED HEALTHCARE,0077200Y,78 FARRINGTON ROAD,LEEMING,6149,YES,25-07-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,SMITHTON DISTRICT HOSPITAL,0080200W,74 BRITTONS ROAD,SMITHTON,7330,NO,,
PUBLIC,SA,SNOWTOWN HOSPITAL,0060510L,8 SOUTH TERRACE,SNOWTOWN,5520,NO,,
PRIVATE,ACT,SOLE VITA SURGERY,0097010W,7 PHIPPS CLOSE,DEAKIN,2600,YES,20-10-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
